id,card_id,user_id,card_number,exp_month,exp_year,customer_id,email,address_city,address_country,address_state,address_zip,name_on_card
2834,d3fd7966-bf36-4636-b31e-a6d68138e3ca,6404,8722583177934195,12,2023,7d648370-00d9-42a4-b32e-175a917f9e32,michael7176@example.com,Chicago,USA,New York,31527,Michael Williams
2835,e4199d52-af06-445f-97c6-22433d0bcc67,7574,2956617220242573,11,2027,cd0b872b-e394-407c-9196-addcb6130a35,patricia5433@example.com,Chicago,USA,Texas,57039,Patricia Williams
2836,e874c22f-cc49-437a-96a6-99c51ef77ec4,6338,4000141967716632,11,2028,2e5b26de-c05e-4d4c-9414-090eb77a37de,jennifer8994@example.com,New York,USA,California,49555,Jennifer Johnson
2837,2d62f974-1a20-423f-abe4-ab0bf7ede68e,8899,7527481746504992,02,2027,e6e54c74-7d70-40dd-8134-9eacb82d7727,elizabeth4878@example.com,Los Angeles,USA,California,91474,Elizabeth Garcia
2838,5df71215-da71-43ae-9a9c-db80707d3876,1429,2191877772035761,01,2026,8e9b022a-0415-4009-b168-60c1e2a77946,patricia2088@example.com,Chicago,USA,California,51395,Patricia Williams
2839,0999a65c-b50e-4ca8-b0a0-8783ad8331b7,4965,4939243457413566,03,2025,1161c3f6-03c0-485f-a6e3-11ee142a99fd,linda4775@example.com,New York,USA,Texas,57555,Linda Miller
2840,b563362a-3c35-460e-b773-07bb1c32d983,7583,3722150724861340,06,2025,4eff1186-fdd1-4b79-81e2-88ea3f9cad19,michael2470@example.com,Los Angeles,USA,Illinois,27357,Michael Davis
2841,f1f4725f-a807-44cc-b4aa-1c2382f267e9,9327,5558569656662772,10,2025,d27f33d4-89aa-4f98-b6e7-24d6816def69,linda1827@example.com,Houston,USA,Illinois,10308,Linda Davis
2842,0f9accd2-c36f-427b-b563-fc7824a5b883,1907,0363334114475940,07,2029,366f1bf9-8cc2-4c34-95a8-eab8c69ecddd,mary2839@example.com,Houston,USA,Texas,29484,Mary Davis
2843,11583fb8-b347-4e03-b2b0-ebab0103bcc2,1193,4666191985766668,10,2028,54cded16-cb68-459a-b629-11ab7b24b09f,james2156@example.com,New York,USA,California,54148,James Rodriguez
2844,1001b0a6-d5ba-4a05-8194-281376dbca25,2957,6935571406724538,05,2024,c37e598f-a35b-4e91-825b-e30fe1b68f90,elizabeth8829@example.com,Houston,USA,Florida,84514,Elizabeth Rodriguez
2845,e51cf4dd-0ccc-4344-bd19-6368c0b36125,3991,8293357221030073,01,2030,b8db82c9-1fd9-4867-bf58-300664a458d1,william7121@example.com,Chicago,USA,Illinois,12595,William Garcia
2846,eb499080-53ca-48d5-bfb4-a62feb5b4f76,4646,6101009368775278,07,2023,90a26d70-94ea-4ede-a7b8-6895c69139ee,michael3299@example.com,Chicago,USA,Texas,34206,Michael Rodriguez
2847,0ad5dfd8-c3fd-4cf1-a21f-ad9b8e32db81,3524,6830596752009034,11,2023,4242272a-9a14-460c-9424-ff888ec40e6c,elizabeth5662@example.com,Phoenix,USA,Florida,82756,Michael Johnson
2848,3d1f0167-fb7a-47b9-8091-7d9e4bbb7c22,5153,8607512378587984,02,2027,2cfc8c5b-4446-4c99-87e7-8c1fed8d3316,robert2253@example.com,Chicago,USA,Florida,63709,Robert Smith
2849,ca423427-7af9-4da1-82ef-eaa6a126b1af,8942,2075167644107321,09,2028,431f636e-13c6-47c8-9258-ba8ecae72404,robert8171@example.com,Phoenix,USA,New York,80791,Robert Williams
2850,35ec48c6-125d-4919-a87a-0349916f15d1,4919,8967792249924435,07,2026,5b6ff666-c129-4c50-943a-0140b634881a,mary5163@example.com,Phoenix,USA,Illinois,70068,Mary Williams
2851,13be6971-3d78-4483-862e-aca37a20ae1b,2595,0396808869489913,06,2025,679d045d-1f28-4105-90a3-e58c40c2e8aa,michael6343@example.com,Los Angeles,USA,New York,29988,Michael Miller
2852,7365fe71-ae32-4fd3-9581-6abf49bcafd1,4792,2806351646532838,04,2028,6fb78a53-fddb-417a-a0a4-6cf2d624663f,john7298@example.com,New York,USA,Texas,12918,John Garcia
